        42,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |252       |0         |0         |0         |0         |15.0      |0         |0         
        43,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |252       |0         |0         |0         |0         |17.5      |0         |0         
        44,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |252       |0         |0         |0         |0         |20.0      |0         |0         
        45,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |246       |0         |0         |0         |0         |0         |0         |0         
        46,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |246       |0         |0         |0         |0         |2.5       |0         |0         
        47,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |246       |0         |0         |0         |0         |5.0       |0         |0         
        48,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |246       |0         |0         |0         |0         |7.5       |0         |0         
        49,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |246       |0         |0         |0         |0         |10.0      |0         |0         
        50,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |246       |0         |0         |0         |0         |12.5      |0         |0         
        51,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |246       |0         |0         |0         |0         |15.0      |0         |0         
        52,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |246       |0         |0         |0         |0         |17.5      |0         |0         
        53,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |246       |0         |0         |0         |0         |20.0      |0         |0         
        54,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |246       |0         |0         |0         |0         |22.5      |0         |0         
        55,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |240       |0         |0         |0         |0         |0         |0         |0         
        56,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |240       |0         |0         |0         |0         |2.5       |0         |0         
        57,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |240       |0         |0         |0         |0         |5.0       |0         |0         
        58,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |240       |0         |0         |0         |0         |7.5       |0         |0         
        59,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |240       |0         |0         |0         |0         |10.0      |0         |0         
        60,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |240       |0         |0         |0         |0         |12.5      |0         |0         
        61,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |240       |0         |0         |0         |0         |15.0      |0         |0         
        62,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |240       |0         |0         |0         |0         |17.5      |0         |0         
        63,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |240       |0         |0         |0         |0         |20.0      |0         |0         
